hidden_sizes,lr,batch_size,train_loss,train_accuracy,train_f_score,test_loss,test_accuracy,test_f_score,mae
"[4, 32]",0.0001,16,1.2717530225795475,0.26666666666666666,0.6079365079365079,1.405467258847278,0.40974605353466026,0.0,3.6856215206283838
"[4, 32]",0.0001,32,1.2972481569957213,0.4666666666666667,0.4917216117216118,1.396494746208191,0.39601921757035,0.0,3.9134465797300386
"[4, 32]",0.0001,64,1.2708337521943889,0.4,0.29185185185185186,1.4223767026610996,0.4056280027453672,0.0,3.718692900175399
"[4, 32]",0.001,16,1.061951811847791,0.4666666666666667,0.09411764705882354,1.2565099260081416,0.40425531914893614,0.6776470588235294,3.542312209257988
"[4, 32]",0.001,32,1.0403638882715194,0.4,0.5331313131313131,1.2519921129164489,0.4234728894989705,0.8500948766603416,3.4577964615267294
"[4, 32]",0.001,64,1.046666282447961,0.4666666666666667,0.29185185185185186,1.2437012597270634,0.43239533287577214,0.8823529411764706,3.4137012887973768
"[4, 32]",0.01,16,1.2718228069159503,0.26666666666666666,0.4,1.3161094603331194,0.40974605353466026,0.0,3.7738118660870894
"[4, 32]",0.01,32,1.0591021815284354,0.26666666666666666,0.3388235294117647,1.2638385490230892,0.43994509265614273,0.0,3.2520189887897506
"[4, 32]",0.01,64,1.064889580825639,0.4,0.11228070175438595,1.277216718248699,0.4118050789293068,0.0,3.604780370624571
"[4, 64]",0.0001,16,1.124884832752207,0.4,0.3657142857142857,1.3139446507329526,0.39327385037748797,0.0,3.759113475177305
"[4, 64]",0.0001,32,1.1353620476410038,0.4,0.3466666666666667,1.3199019393195277,0.3864104323953329,0.0,3.792184854724319
"[4, 64]",0.0001,64,1.1083452981677864,0.3333333333333333,0.3466666666666667,1.292261753393256,0.3877831159917639,0.0,3.770137268359643
"[4, 64]",0.001,16,1.0131992166811,0.4,0.21263616557734205,1.221601278885551,0.4104323953328758,0.8823529411764706,3.4835186456188514
"[4, 64]",0.001,32,0.9835685628359435,0.4,0.23703703703703702,1.2319791148538175,0.4186684969114619,0.912655971479501,3.4173758865248227
"[4, 64]",0.001,64,1.0071218157075141,0.4,0.46095238095238095,1.2443975339765134,0.42072752230610844,0.912655971479501,3.402677495615039
"[4, 64]",0.01,16,1.0258686985474466,0.26666666666666666,0.46984126984126984,1.3192805725595225,0.42141386410432397,0.0,3.4577964615267294
"[4, 64]",0.01,32,1.0075090455878628,0.3333333333333333,0.23703703703703702,1.3113078241762908,0.39670555936856555,0.0,3.6084549683520177
"[4, 64]",0.01,64,1.022253959231038,0.4666666666666667,0.2440087145969499,1.3149700255497643,0.39052848318462596,0.0,3.6341771524441397
"[4, 128]",0.0001,16,1.016009237271189,0.4,0.21263616557734205,1.2520047231860782,0.39807824296499655,0.0,3.630502554716694
"[4, 128]",0.0001,32,1.0114158916343106,0.5333333333333333,0.4,1.2520687606023706,0.39052848318462596,0.0,3.700319911538168
"[4, 128]",0.0001,64,1.0161511731929467,0.4,0.5512820512820513,1.2511957028637761,0.40288263555250514,0.0,3.590081979714787
"[4, 128]",0.001,16,1.0301397078024233,0.4,0.34400871459694987,1.2258310849251954,0.426904598490048,0.8784313725490196,3.380629909250363
"[4, 128]",0.001,32,0.979830170589718,0.4,0.21263616557734205,1.2181574844795724,0.425531914893617,0.8500948766603416,3.33653473652101
"[4, 128]",0.001,64,0.9557016921825097,0.4,0.23703703703703702,1.218181163072586,0.41935483870967744,0.8067226890756302,3.4137012887973768
"[4, 128]",0.01,16,1.0603161867850466,0.26666666666666666,0.3388235294117647,1.2766064003757809,0.4234728894989705,0.0,3.523939220620758
"[4, 128]",0.01,32,1.0196724042214982,0.4,0.23703703703703702,1.2535587847232819,0.42210020590253944,0.0,3.4210504842522687
"[4, 128]",0.01,64,1.0121568584702705,0.3333333333333333,0.3388235294117647,1.2946077105791673,0.43925875085792726,0.0,3.3990028978875926
"[4, 32, 32]",0.0001,16,1.2842921552762308,0.5333333333333333,0.5555555555555555,1.336371590261874,0.39052848318462596,0.0,3.8032086479066574
"[4, 32, 32]",0.0001,32,1.2847818038502679,0.4,0.22518518518518518,1.319469065769859,0.39052848318462596,0.0,3.7260420956302904
"[4, 32, 32]",0.0001,64,1.2963801433479851,0.4,0.4851948051948052,1.3040687027184859,0.42210020590253944,0.0,3.5606851978952183
"[4, 32, 32]",0.001,16,1.110988836470849,0.26666666666666666,0.6032900432900433,1.1903739403123441,0.4529855868222375,0.8823529411764706,3.2226222069701826
"[4, 32, 32]",0.001,32,1.1320151846265532,0.5333333333333333,0.2985185185185185,1.167593187612036,0.4783802333562114,0.9108159392789374,3.1013604819644622
"[4, 32, 32]",0.001,64,1.110697340118429,0.4,0.16380952380952382,1.1819368847038434,0.4742621825669183,0.912655971479501,3.027868527415542
"[4, 32, 32]",0.01,16,1.240933194837935,0.4,0.3388235294117647,1.2990253891633905,0.40905971173644473,0.0,3.5790581865324484
"[4, 32, 32]",0.01,32,1.1775400215159348,0.4,0.08888888888888888,1.316329731889393,0.3939601921757035,0.0,3.850978418363457
"[4, 32, 32]",0.01,64,1.1572410949592382,0.4666666666666667,0.1853968253968254,1.2837222659069558,0.4186684969114619,0.0,3.4724948524365136
"[4, 64, 64]",0.0001,16,1.1192928761080967,0.5333333333333333,0.28688644688644693,1.2377592726894047,0.4021962937542896,0.0,3.6121295660794637
"[4, 64, 64]",0.0001,32,1.0938205051291836,0.4,0.5842424242424242,1.2429101013618966,0.39121482498284144,0.0,3.6635739342637077
"[4, 64, 64]",0.0001,64,1.089689144671289,0.2,0.12825396825396823,1.2341719632563384,0.39601921757035,0.0,3.6341771524441397
"[4, 64, 64]",0.001,16,1.0638770148402354,0.26666666666666666,0.34708994708994706,1.1530717753845712,0.45710363761153056,0.8823529411764706,3.1123842751468005
"[4, 64, 64]",0.001,32,1.088942290003834,0.3333333333333333,0.31333333333333335,1.18051104441933,0.4420041180507893,0.8823529411764706,3.2189476092427367
"[4, 64, 64]",0.001,64,1.1286732306897314,0.4666666666666667,0.41185185185185186,1.1556034178837487,0.45024021962937544,0.912655971479501,3.207923816060398
"[4, 64, 64]",0.01,16,1.199882758445427,0.2,0.2185185185185185,1.332664412000905,0.3857240905971174,0.44817927170868344,3.7811610615419813
"[4, 64, 64]",0.01,32,1.471528725871623,0.26666666666666666,0.44666666666666666,1.3344320019950038,0.40837336993822926,0.0,3.7150183024479526
"[4, 64, 64]",0.01,64,1.135227309224384,0.4,0.34708994708994706,1.3009858014790907,0.4358270418668497,0.11072664359861592,3.4137012887973768
"[4, 128, 128]",0.0001,16,1.0290249126856443,0.4666666666666667,0.46095238095238095,1.2294099279071973,0.4172958133150309,0.8500948766603416,3.4173758865248227
"[4, 128, 128]",0.0001,32,1.0758580816248076,0.4666666666666667,0.34400871459694987,1.2423988671406456,0.40631434454358273,0.0,3.5864073819873408
"[4, 128, 128]",0.0001,64,1.0263608948129122,0.4666666666666667,0.5232900432900432,1.2252355477084285,0.4138641043239533,0.7668845315904139,3.4430980706169456
"[4, 128, 128]",0.001,16,0.961898392341176,0.4666666666666667,0.11228070175438595,1.1370147298211637,0.48112560054907344,0.8823529411764706,2.9543765728666207
"[4, 128, 128]",0.001,32,1.0110530553619719,0.4,0.23703703703703702,1.1359887174938037,0.4722031571722718,0.8823529411764706,3.02051933196065
"[4, 128, 128]",0.001,64,0.919529829194637,0.26666666666666666,0.2054901960784314,1.1419797669286313,0.4921070693205216,0.8823529411764706,2.866186227407916
"[4, 128, 128]",0.01,16,1.093638199926074,0.3333333333333333,0.09411764705882354,1.2330302634964818,0.4358270418668497,0.0,3.402677495615039
"[4, 128, 128]",0.01,32,1.18489205576683,0.4,0.21263616557734205,1.3550971863062486,0.3953328757721345,0.0,3.6966453138107225
"[4, 128, 128]",0.01,64,1.1170547262566988,0.2,0.4,1.245809757191202,0.4351407000686342,0.0,3.347558529703348
